Date,engDaily,niDaily,scotDaily,walDaily,engTotal,niTotal,scotTotal,walTotal
10/12/2020,17622,441,933,1968,1531761,56719,103305,95998
09/12/2020,12960,483,897,2238,1514139,56278,102372,94030
08/12/2020,10459,351,692,780,1501179,55795,101475,91792
07/12/2020,11623,397,677,2021,1490720,55444,100783,91013
06/12/2020,14294,419,643,1916,1479097,55047,100106,88992
05/12/2020,12666,451,777,1645,1464803,54628,99463,87077
04/12/2020,13412,449,966,1471,1452137,54177,98686,85432
03/12/2020,11992,456,958,1473,1438725,53728,97720,83961
02/12/2020,13323,416,951,1480,1426733,53272,96762,82489
01/12/2020,11618,391,754,667,1413410,52856,95811,81009
30/11/2020,10869,290,369,802,1401792,52465,95058,80342
29/11/2020,10054,351,746,1004,1390923,52175,94689,79540
28/11/2020,13323,315,788,1445,1380869,51824,93943,78536
27/11/2020,13557,391,969,1105,1367546,51509,93155,77091
26/11/2020,14637,442,1225,1251,1355272,51118,92186,75986
25/11/2020,15893,533,880,907,1340635,50676,90961,74735
24/11/2020,9854,79,771,595,1324742,50143,90081,73828
23/11/2020,13329,280,949,892,1314888,50064,89310,73233
22/11/2020,16668,342,844,808,1301559,49784,88361,72341
21/11/2020,17615,357,887,1016,1284891,49442,87517,71533
20/11/2020,17845,369,1018,1020,1267276,49085,86630,70517
19/11/2020,20291,487,1089,1048,1249431,48716,85612,69497
18/11/2020,17189,518,1264,638,1229140,48229,84523,68449
17/11/2020,17549,549,1248,705,1211951,47711,83259,67811
16/11/2020,19423,331,717,892,1194402,47162,82011,67106
15/11/2020,21998,472,1159,1333,1174979,46831,81294,66214
14/11/2020,24298,511,1118,933,1152981,46359,80135,64881
13/11/2020,24540,607,1357,797,1128683,45848,79017,63948
12/11/2020,30843,548,1212,867,1104143,45241,77660,63151
11/11/2020,19970,791,1261,928,1073300,44693,76448,62284
10/11/2020,18622,514,832,444,1053330,43902,75187,61356
09/11/2020,19036,471,912,931,1034708,43388,74355,60912
08/11/2020,18293,420,1115,744,1015672,42917,73443,59981
07/11/2020,21875,528,1596,958,997379,42497,72328,59237
06/11/2020,20268,595,1072,1352,975504,41969,70732,58279
05/11/2020,21137,516,1216,1272,955236,41374,69660,56927
04/11/2020,21863,679,1433,1202,934099,40858,68444,55658
03/11/2020,17330,570,999,1119,912236,40179,67011,54456
02/11/2020,15860,493,951,1646,894906,39609,66012,53337
01/11/2020,20602,685,1148,819,879046,39116,65061,51691
31/10/2020,18864,649,1101,1301,858444,38431,63913,50872
30/10/2020,20821,566,1281,1737,839580,37782,62812,49571
29/10/2020,19740,822,1128,1375,818759,37216,61531,47834
28/10/2020,21245,840,1202,1414,799019,36394,60403,46459
27/10/2020,19629,722,1327,1207,777774,35554,59201,45046
26/10/2020,17883,727,1122,1158,758145,34832,57874,43839
25/10/2020,16487,896,1303,1104,740262,34105,56752,42681
24/10/2020,19332,923,1433,1324,723775,33209,55449,41577
23/10/2020,17116,1252,1401,761,704443,32286,54016,40253
22/10/2020,17354,1042,1712,1134,687327,31034,52615,39491
21/10/2020,22948,1039,1739,962,669973,29992,50903,38361
20/10/2020,17814,913,1456,1148,647025,28953,49164,37400
19/10/2020,16365,820,993,626,629211,28040,47708,36253
18/10/2020,14704,1012,316,950,612846,27220,46715,35628
17/10/2020,13299,1031,1167,674,598142,26208,46399,34679
16/10/2020,12176,1299,1196,979,584843,25177,45232,34005
15/10/2020,16139,763,1351,727,572667,23878,44036,33041
14/10/2020,16132,1217,1429,946,556528,23115,42685,32316
13/10/2020,14310,863,1297,764,540396,21898,41256,31370
12/10/2020,11647,877,961,487,526086,21035,39959,30608
11/10/2020,10383,1066,956,467,514439,20158,38998,30121
10/10/2020,12628,902,1009,627,504056,19092,38042,29654
09/10/2020,10772,1080,1246,766,491428,18190,37033,29028
08/10/2020,14952,923,1027,638,480656,17110,35787,28262
07/10/2020,11528,828,1054,752,465704,16187,34760,27624
06/10/2020,12648,669,800,425,454176,15359,33706,26872
05/10/2020,10685,616,697,596,441528,14690,32906,26447
04/10/2020,21309,462,758,432,430843,14074,32209,25852
03/10/2020,10806,726,764,576,409534,13612,31451,25420
02/10/2020,4797,934,775,462,398728,12886,30687,24845
01/10/2020,5589,259,668,398,393931,11952,29912,24383
30/09/2020,5656,424,640,388,388342,11693,29244,23985
29/09/2020,5651,320,806,366,382686,11269,28604,23597
28/09/2020,3316,220,222,286,377035,10949,27798,23231
27/09/2020,4800,187,344,362,373719,10729,27576,22945
26/09/2020,4639,319,714,370,368919,10542,27232,22584
25/09/2020,5723,273,558,320,364280,10223,26518,22215
24/09/2020,5632,189,465,348,358557,9950,25960,21896
23/09/2020,5083,220,486,389,352925,9761,25495,21548
22/09/2020,4187,75,383,281,347842,9541,25009,21159
21/09/2020,3754,125,255,234,343655,9466,24626,20878
20/09/2020,3279,176,245,199,339901,9341,24371,20644
19/09/2020,3638,222,350,212,336622,9165,24126,20445
18/09/2020,3771,163,203,185,332984,8943,23776,20233
17/09/2020,2788,149,290,168,329213,8780,23573,20048
16/09/2020,3396,129,267,199,326425,8631,23283,19880
15/09/2020,2649,79,267,110,323029,8502,23016,19681
14/09/2020,2259,109,70,183,320380,8423,22749,19573
13/09/2020,2837,87,244,162,318121,8314,22679,19390
12/09/2020,3008,104,221,164,315284,8227,22435,19228
11/09/2020,3143,88,175,133,312276,8123,22214,19064
10/09/2020,2578,78,161,102,309133,8035,22039,18931
09/09/2020,2286,49,159,165,306555,7957,21878,18829
08/09/2020,2094,40,176,150,304269,7908,21719,18664
07/09/2020,2528,141,146,133,302175,7868,21543,18514
06/09/2020,2576,106,208,98,299647,7727,21397,18381
05/09/2020,1477,118,141,77,297071,7621,21189,18283
04/09/2020,1669,61,159,51,295594,7503,21048,18206
03/09/2020,1507,77,101,50,293925,7442,20889,18155
02/09/2020,1239,71,156,42,292418,7365,20788,18105
01/09/2020,1041,49,154,51,291179,7294,20632,18063
31/08/2020,1149,58,160,39,290138,7245,20478,18012
30/08/2020,1487,49,123,56,288989,7187,20318,17973
29/08/2020,891,89,88,40,287502,7138,20195,17917
28/08/2020,1106,85,51,34,286611,7049,20107,17877
27/08/2020,1350,69,68,35,285505,6964,20056,17843
26/08/2020,875,72,67,34,284155,6895,19988,17808
25/08/2020,1065,47,44,28,283280,6823,19921,17774
24/08/2020,758,10,66,19,282215,6776,19877,17746
23/08/2020,938,119,83,20,281457,6766,19811,17727
22/08/2020,1060,71,123,34,280519,6647,19728,17707
21/08/2020,908,20,71,34,279459,6576,19605,17673
20/08/2020,1035,51,77,19,278551,6556,19534,17639
19/08/2020,707,34,50,21,277516,6505,19457,17620
18/08/2020,975,41,49,24,276809,6471,19407,17599
17/08/2020,634,39,26,14,275834,6430,19358,17575
16/08/2020,952,27,43,18,275200,6391,19332,17561
15/08/2020,934,65,51,27,274248,6364,19289,17543
14/08/2020,1284,74,65,18,273314,6299,19238,17516
13/08/2020,1059,8,47,15,272030,6225,19173,17499
12/08/2020,925,29,47,8,270971,6217,19126,17484
11/08/2020,1035,48,52,13,270046,6188,19079,17476
10/08/2020,699,0,29,12,269011,6140,19027,17463
09/08/2020,988,0,48,26,268312,6064,18998,17451
08/08/2020,679,0,60,19,267324,6064,18950,17425
07/08/2020,796,15,43,17,266645,6064,18890,17406
06/08/2020,826,43,66,15,265849,6049,18847,17389
05/08/2020,804,10,64,14,265023,6006,18781,17374
04/08/2020,617,8,23,22,264219,5996,18717,17361
03/08/2020,856,0,18,24,263602,5988,18694,17339
02/08/2020,676,0,31,37,262746,5948,18676,17315
01/08/2020,722,0,18,21,262070,5948,18645,17279
31/07/2020,814,10,30,26,261348,5948,18627,17258
30/07/2020,812,8,17,9,260534,5938,18597,17232
29/07/2020,700,9,22,32,259722,5930,18580,17223
28/07/2020,547,9,4,21,259022,5921,18558,17191
27/07/2020,616,0,3,45,258475,5912,18554,17170
26/07/2020,721,0,4,22,257859,5891,18551,17125
25/07/2020,710,0,27,30,257138,5891,18547,17105
24/07/2020,688,15,20,45,256428,5891,18520,17075
23/07/2020,702,8,16,43,255740,5876,18500,17030
22/07/2020,519,9,10,22,255038,5868,18484,16987
21/07/2020,399,2,22,22,254519,5859,18474,16965
20/07/2020,535,0,7,15,254120,5857,18452,16943
19/07/2020,672,0,23,31,253585,5834,18445,16928
18/07/2020,796,0,21,10,252913,5834,18422,16897
17/07/2020,635,19,17,16,252117,5834,18401,16887
16/07/2020,597,16,11,18,251482,5815,18384,16871
15/07/2020,506,9,5,18,250885,5799,18373,16854
14/07/2020,372,2,3,21,250379,5790,18368,16836
13/07/2020,497,0,6,11,250007,5788,18365,15973
12/07/2020,615,0,19,16,249510,5772,18359,15962
11/07/2020,806,0,7,7,248895,5772,18340,15946
10/07/2020,480,4,18,10,248089,5772,18333,15939
09/07/2020,617,3,6,16,247609,5768,18315,15929
08/07/2020,606,4,7,13,246992,5765,18309,15913
07/07/2020,572,5,2,2,246386,5761,18302,15900
06/07/2020,331,0,4,8,245814,5756,18300,15898
05/07/2020,492,0,9,15,245483,5747,18296,15890
04/07/2020,579,0,11,34,244991,5747,18287,15875
03/07/2020,502,4,12,26,244412,5747,18276,15841
02/07/2020,523,7,5,41,243910,5768,18264,15815
01/07/2020,177,1,8,32,160764,5761,18259,15775
30/06/2020,196,3,10,26,160587,5760,18251,15743
29/06/2020,99,6,5,116,160391,5757,18241,15717
28/06/2020,142,1,8,25,160292,5751,18236,15602
27/06/2020,192,2,15,46,160150,5750,18228,15577
26/06/2020,175,4,17,65,159958,5748,18213,15531
25/06/2020,261,1,5,125,159696,4874,18196,15466
24/06/2020,107,2,9,47,159435,4873,18191,15341
23/06/2020,210,0,12,51,159328,4871,18182,15295
22/06/2020,178,1,14,71,159118,4871,18170,15197
21/06/2020,215,4,26,100,158940,4870,18156,15126
20/06/2020,324,0,26,25,158725,4866,18130,15026
19/06/2020,323,3,27,31,158401,4866,18104,15001
18/06/2020,281,1,11,48,158078,4863,18077,14970
17/06/2020,252,8,21,53,157797,4862,18066,14922
16/06/2020,252,2,15,65,157545,4854,18045,14869
15/06/2020,219,4,29,62,157293,4852,18030,14804
14/06/2020,292,7,25,39,157074,4848,15755,14742
13/06/2020,372,3,21,45,156782,4841,15730,14703
12/06/2020,392,16,27,77,156410,4838,15709,14658
11/06/2020,304,4,17,63,156018,4822,15682,14581
10/06/2020,63,13,12,38,155714,4818,15665,14518
09/06/2020,651,3,14,42,155651,4805,15653,14480
08/06/2020,92,6,18,42,155000,4802,15639,14438
07/06/2020,228,6,18,40,154908,4796,15621,14396
06/06/2020,422,14,21,42,154680,4790,15603,14356
05/06/2020,451,3,29,76,154258,4776,15582,14314
04/06/2020,431,33,49,35,153807,4773,15553,14238
03/06/2020,462,8,33,82,153376,4740,15504,14203
02/06/2020,444,4,53,67,152914,4732,15471,14121
01/06/2020,294,12,18,59,152470,4728,15418,14054
31/05/2020,320,7,18,82,152176,4716,15400,13995
30/05/2020,715,13,55,86,151856,4709,15382,13913
29/05/2020,560,17,39,102,151982,4696,15327,13827
28/05/2020,519,16,48,72,151422,4679,15288,13725
27/05/2020,609,26,55,97,150903,4663,15240,13653
26/05/2020,492,28,29,141,150294,4637,15185,13556
25/05/2020,494,39,55,106,149802,4609,15156,13415
24/05/2020,584,25,60,140,149308,4570,15101,13309
23/05/2020,979,41,72,185,148724,4545,15041,13169
22/05/2020,1083,23,113,138,147745,4504,14969,12984
21/05/2020,854,42,105,166,146662,4481,14856,12846
20/05/2020,824,18,96,110,145808,4439,14751,12680
19/05/2020,857,20,61,166,145376,4421,14655,12570
18/05/2020,816,16,57,101,144519,4401,14594,12404
17/05/2020,788,28,90,162,143703,4385,14537,12304
16/05/2020,1136,40,187,183,142915,4357,14447,12142
15/05/2020,1112,26,143,126,141779,4317,14260,11960
14/05/2020,1189,38,188,128,140667,4291,14117,11834
13/05/2020,1146,60,166,133,139478,4253,13929,11706
12/05/2020,1067,44,136,105,138332,4193,13763,11573
11/05/2020,891,30,141,124,137265,4149,13627,11468
10/05/2020,1007,41,181,223,136374,4119,13486,11344
09/05/2020,1349,56,156,118,135367,4078,13305,11121
08/05/2020,1694,38,225,152,134018,4022,13149,11003
07/05/2020,2133,50,215,87,132324,3984,12924,10851
06/05/2020,1611,53,272,95,130191,3934,12709,10764
05/05/2020,1842,45,171,145,128580,3881,12437,10669
04/05/2020,1485,69,169,195,126738,3836,12266,10524
03/05/2020,2019,78,170,174,125253,3767,12097,10329
02/05/2020,2228,66,273,183,123234,3689,11927,10155
01/05/2020,2501,87,301,160,121006,3623,11654,9972
30/04/2020,2484,73,319,183,118343,3536,11353,9812
29/04/2020,1403,55,313,117,115859,3463,11034,9629
28/04/2020,1989,34,200,232,114456,3408,10721,9512
27/04/2020,2264,66,197,203,112467,3374,10521,9280
26/04/2020,2152,82,273,178,110203,3308,10324,9078
25/04/2020,2826,104,354,299,108051,3226,10051,8900
24/04/2020,3004,106,288,243,105225,3122,9697,8601
23/04/2020,3084,142,371,234,102221,3016,9409,8358
22/04/2020,3020,116,366,274,99137,2874,9038,8124
21/04/2020,3087,30,222,304,96117,2758,8672,7850
20/04/2020,2401,83,263,276,93030,2728,8450,7546
19/04/2020,3607,159,367,334,90629,2645,8187,7270
18/04/2020,3548,148,411,292,87022,2486,7820,6936
17/04/2020,3985,137,307,244,83474,2338,7409,6645
16/04/2020,3118,113,354,284,79489,2201,7102,6401
15/04/2020,3188,121,390,272,76371,2088,6748,6118
14/04/2020,3854,85,291,238,73183,1967,6358,5848
13/04/2020,2999,76,155,313,69329,1882,6067,5610
12/04/2020,3672,89,322,367,66330,1806,5912,5297
11/04/2020,3841,128,315,340,62658,1717,5590,4930
10/04/2020,4263,112,318,502,58817,1589,5275,4591
09/04/2020,3798,138,392,16,54554,1477,4957,4089
08/04/2020,4788,84,336,283,50756,1339,4565,4073
07/04/2020,2978,97,268,291,45968,1255,4229,3790
06/04/2020,3176,69,255,302,42990,1158,3961,3499
05/04/2020,5107,91,361,344,39814,1089,3706,3197
04/04/2020,2910,94,344,387,34707,998,3345,2853
03/04/2020,3576,130,399,345,31797,904,3001,2466
02/04/2020,3583,85,292,284,28221,774,2602,2121
01/04/2020,3630,103,317,274,24638,689,2310,1837
31/03/2020,2414,53,430,112,21008,586,1993,1563
30/03/2020,2107,123,179,210,18594,533,1563,1451
29/03/2020,2060,86,139,148,16487,410,1384,1241
28/03/2020,2139,49,186,172,14427,324,1245,1093
27/03/2020,2506,34,165,180,12288,275,1059,921
26/03/2020,1809,32,175,113,9782,241,894,741
25/03/2020,1130,37,135,150,7973,209,719,628
24/03/2020,1258,24,85,60,6843,172,584,478
23/03/2020,793,20,83,71,5585,148,499,418
22/03/2020,535,20,43,67,4792,128,416,347
21/03/2020,873,22,51,89,4257,108,373,280
20/03/2020,628,9,56,21,3384,86,322,191
19/03/2020,574,9,39,21,2756,77,266,170
18/03/2020,625,6,32,13,2182,68,227,149
17/03/2020,361,10,24,12,1557,62,195,136
16/03/2020,97,7,18,30,1196,52,171,124
15/03/2020,253,11,32,34,1099,45,153,94
14/03/2020,201,5,36,22,846,34,121,60
13/03/2020,159,10,25,13,645,29,85,38
12/03/2020,99,1,24,10,486,19,60,25
11/03/2020,63,2,9,9,387,18,36,15
10/03/2020,46,0,4,2,324,16,27,6
09/03/2020,40,3,5,2,282,12,23,4
08/03/2020,58,5,2,0,241,9,18,2
07/03/2020,39,2,5,0,183,4,16,2
06/03/2020,39,2,5,0,144,2,11,2